rowid,address,specificusetype,landvalue,sqftmain,lat,lon,landval/sqft
20216013009001,6628 S VERMONT AVE  LOS ANGELES CA  90044,1210,707252,5276,33.97841287,-118.29119983,134.050796058
20215017007006,5024 S NORMANDIE AVE  LOS ANGELES CA  90037,1210,683266,5105,33.997039729999997,-118.29983494,133.842507346
20215001027001,5250 S HOOVER ST  LOS ANGELES CA  90037,1210,618874,4733,33.994751899999997,-118.28686089999999,130.757236425
20216004031005,5932 S HOOVER ST  LOS ANGELES CA  90044,1210,571422,4481,33.986312959999999,-118.28669673,127.521089043
""
20216021006001,7651 COMPTON AVE  LOS ANGELES CA  90001,1100,13556,5180,33.970620779999997,-118.24804206,2.61698841699
20216021016052,1600 E FLORENCE AVE  LOS ANGELES CA  90001,1100,3176208,6600,33.974444419999998,-118.24532176,481.243636364
20216321014026,6363 SANTA FE AVE  HUNTINGTON PARK CA  90255,1100,1906549,4840,33.981931170000003,-118.23065755,393.915082645
20216043001027,8600 S CENTRAL AVE  LOS ANGELES CA  90002,1100,1350955,4688,33.959869500000003,-118.25608898999999,288.172994881
20216010005032,6620 S CENTRAL AVE  LOS ANGELES CA  90001,1100,1365172,5461,33.979516840000002,-118.25612371,249.985716902
20216010041022,1511 E FLORENCE AVE  LOS ANGELES CA  90001,1100,1237754,6000,33.975094970000001,-118.24733670000001,206.292333333
""
20215492039001,205 THORNE ST  LOS ANGELES CA  90042,1210,32628,12404,34.11265831,-118.17950461,2.63044179297
20215493003010,6301 N FIGUEROA ST  LOS ANGELES CA  90042,1210,377662,11976,34.1159313,-118.18438823,31.5349031396
""
20214021036025,808 E MANCHESTER BLVD  INGLEWOOD CA  90301,1900,15501,5858,33.959354400000002,-118.34498694,2.64612495732
20214024020034,1091 LA BREA DR  INGLEWOOD CA  90301,1900,538793,5334,33.949457870000003,-118.3530524,101.011061117
20214021006015,126 N LOCUST ST  INGLEWOOD CA  90301,1900,464158,4957,33.964011810000002,-118.34994407000001,93.6368771434
""
20214288014002,2510 MAIN ST  SANTA MONICA CA  90405,1200,32590,12139,34.003031290000003,-118.48493721,2.68473515117
20214291018015,1443 4TH ST  SANTA MONICA CA  90401,1200,2840656,13485,34.015727169999998,-118.49382054,210.653021876
20214291015027,127 BROADWAY  SANTA MONICA CA  90401,1200,2299778,13544,34.013452309999998,-118.49591624999999,169.800502067
20214288003023,2821 MAIN ST  SANTA MONICA CA  90405,1200,2212527,13500,33.999842549999997,-118.48102593999999,163.890888889
20214288002044,2665 MAIN ST  SANTA MONICA CA  90405,1200,1244819,11475,34.001423809999999,-118.48261392000001,108.480958606
20214291011012,1335 4TH ST  SANTA MONICA CA  90401,1200,312539,13462,34.017163660000001,-118.49550083,23.2163868667
""
20215128012001,2701 S SAN PEDRO ST  LOS ANGELES CA  90011,1212,33693,12496,34.020508599999999,-118.26227082,2.6963028169
20215122027002,3800 S GRAND AVE  LOS ANGELES CA  90037,1212,600432,12732,34.014870670000001,-118.27911147,47.1592836946
20215114019033,3209 S CENTRAL AVE  LOS ANGELES CA  90011,1212,324416,11700,34.01445468,-118.25690559,27.7278632479
""
20217418032019,227 N AVALON BLVD  LOS ANGELES CA  90744,1100,14464,5220,33.772017769999998,-118.26219604000001,2.77088122605
20217424020007,926 E ANAHEIM ST  LOS ANGELES CA  90744,1100,656986,4131,33.780301170000001,-118.25095075,159.038005326
20217420008035,1203 N AVALON BLVD  LOS ANGELES CA  90744,1100,761835,4800,33.786998730000001,-118.26339243,158.715625
20217416033030,220 W ANAHEIM ST  LOS ANGELES CA  90744,1100,873800,5835,33.779608500000002,-118.26465460999999,149.751499572
20217416013034,837 N WILMINGTON BLVD  LOS ANGELES CA  90744,1100,618874,6000,33.780507960000001,-118.274652,103.145666667
20217416008026,1200 W ANAHEIM ST  LOS ANGELES CA  90744,1100,405265,4640,33.778906880000001,-118.27697686,87.3415948276
""
20212836023020,22750 SOLEDAD CANYON RD  SANTA CLARITA CA  91350,1100,34446,12320,34.421278209999997,-118.53461134,2.79594155844
20212811026043,23310 CINEMA DR  SANTA CLARITA CA  91355,1100,2843478,11349,34.418906939999999,-118.54416229,250.548770817
20212811025062,23500 VALENCIA BLVD  SANTA CLARITA CA  91355,1100,2398854,11043,34.416175920000001,-118.54878986999999,217.228470524
20212811026001,23332 VALENCIA BLVD  SANTA CLARITA CA  91355,1100,1366532,12044,34.421813010000001,-118.54627726,113.461640651
20212811003033,26057 BOUQUET CANYON RD  SANTA CLARITA CA  91350,1100,1283900,11660,34.416673600000003,-118.542055,110.111492281
""
20216078020012,11215 S WESTERN AVE  LOS ANGELES CA  90047,1700,19222,6706,33.932135520000003,-118.30946435,2.86638830898
20214031012011,11011 CRENSHAW BLVD  INGLEWOOD CA  90303,1700,542874,8200,33.935395640000003,-118.32689747000001,66.2041463415
""
20212520026012,217 N MACLAY AVE  SAN FERNANDO CA  91340,1100,57922,20099,34.285539849999999,-118.43877578,2.88183491716
20212521034011,1231 SAN FERNANDO RD  SAN FERNANDO CA  91340,1100,2697483,19200,34.28498536,-118.44321804,140.49390625
""
20216028034004,8510 COMPTON AVE  LOS ANGELES CA  90001,2400,16271,5580,33.96082629,-118.24730029,2.91594982079
20216024015001,7756 S CENTRAL AVE  LOS ANGELES CA  90001,2400,1229878,5578,33.968652349999999,-118.25607624,220.487271423
20216045016016,8837 MINER ST  LOS ANGELES CA  90002,2400,385059,6951,33.955854389999999,-118.23507290000001,55.3962019853
20216028026023,1201 FIRESTONE BLVD  LOS ANGELES CA  90001,2400,204711,4348,33.960447119999998,-118.25367079999999,47.0816467341
""
20216170014001,2768 CENTURY BLVD  LYNWOOD CA  90262,2600,26701,9100,33.937375269999997,-118.22257695,2.93417582418
20216209018003,9209 CALIFORNIA AVE  SOUTH GATE CA  90280,2600,222912,8964,33.95080523,-118.2069609,24.8674698795
